driver_age,driver_gender,years_experience,vehicle_make,vehicle_model,vehicle_year,vehicle_value,annual_mileage,location,coverage_type,deductible,accidents_last_3_years,violations_last_3_years,credit_score,premium
25,male,3,Toyota,Camry,2018,22000,12000,urban,comprehensive,500,0,1,720,1850
45,female,20,Honda,Accord,2015,18000,8000,suburban,liability,1000,1,0,780,1200
22,male,1,BMW,X3,2020,45000,15000,urban,comprehensive,250,0,2,650,3200
35,female,15,Ford,F150,2017,28000,20000,rural,comprehensive,500,2,0,740,2100
28,male,8,Nissan,Altima,2019,24000,10000,suburban,comprehensive,1000,0,0,800,1450
52,female,25,Mercedes,C300,2016,35000,6000,suburban,comprehensive,500,0,0,820,1680
19,male,0,Honda,Civic,2021,25000,18000,urban,liability,1000,0,3,600,2800
38,male,18,Chevrolet,Silverado,2014,22000,25000,rural,comprehensive,500,1,1,760,1950
29,female,10,Hyundai,Elantra,2020,20000,14000,suburban,comprehensive,1000,0,0,750,1320
41,male,22,Audi,A4,2018,38000,12000,urban,comprehensive,250,0,0,790,2200
26,female,5,Subaru,Outback,2019,28000,16000,suburban,comprehensive,500,1,0,720,1680
33,male,12,Volkswagen,Jetta,2017,19000,11000,urban,liability,1000,0,1,710,1580
47,female,28,Lexus,RX350,2015,32000,9000,suburban,comprehensive,500,0,0,850,1520
24,male,2,Mazda,CX5,2020,26000,13000,urban,comprehensive,1000,0,2,680,2100
36,female,16,Kia,Sorento,2018,24000,17000,rural,comprehensive,500,1,0,770,1750
31,male,9,Toyota,Prius,2019,23000,11000,suburban,comprehensive,500,0,0,760,1420
42,female,19,Honda,CR-V,2016,26000,14000,urban,comprehensive,1000,1,1,740,1890
27,male,6,Ford,Mustang,2020,32000,13000,urban,comprehensive,250,0,1,700,2350
39,female,17,Chevrolet,Equinox,2017,24000,16000,suburban,comprehensive,500,0,0,780,1650
23,male,2,Nissan,Sentra,2021,21000,15000,urban,liability,1000,1,2,660,2450
48,female,26,BMW,3Series,2015,33000,8000,suburban,comprehensive,500,0,0,830,1580
30,male,11,Mercedes,GLC,2018,42000,12000,urban,comprehensive,250,0,0,790,2180
34,female,13,Audi,Q5,2019,39000,10000,suburban,comprehensive,500,0,1,800,1920
21,male,1,Hyundai,Tucson,2022,27000,17000,urban,comprehensive,1000,0,3,620,2980
44,female,22,Kia,Optima,2016,19000,9000,rural,comprehensive,500,1,0,770,1380
37,male,16,Subaru,Forester,2018,29000,18000,rural,comprehensive,500,2,0,750,2050
26,female,7,Volkswagen,Passat,2020,25000,12000,suburban,comprehensive,1000,0,0,740,1480
43,male,21,Lexus,ES350,2017,31000,7000,suburban,comprehensive,500,0,0,840,1520
32,female,12,Mazda,Mazda6,2019,24000,13000,urban,liability,1000,1,1,720,1780
40,male,18,Toyota,Highlander,2016,30000,19000,rural,comprehensive,500,1,0,760,1850
29,female,8,Honda,Pilot,2020,35000,15000,suburban,comprehensive,1000,0,0,780,1720
46,male,24,Ford,Explorer,2015,27000,11000,suburban,comprehensive,500,0,0,810,1450
33,female,14,Chevrolet,Malibu,2018,22000,14000,urban,comprehensive,1000,1,1,730,1690
25,male,4,Nissan,Rogue,2021,26000,16000,urban,comprehensive,500,0,2,690,2200
51,female,29,BMW,X5,2014,38000,6000,suburban,comprehensive,500,0,0,850,1620
28,male,7,Mercedes,E350,2019,45000,10000,urban,comprehensive,250,0,0,800,2400
35,female,15,Audi,A6,2017,41000,12000,suburban,comprehensive,500,0,1,790,1980
20,male,0,Hyundai,Veloster,2022,24000,20000,urban,liability,1000,1,4,580,3500
49,female,27,Kia,Sportage,2016,23000,8000,rural,comprehensive,500,0,0,820,1340
38,male,17,Subaru,Legacy,2018,26000,17000,rural,comprehensive,500,2,0,740,1920
24,female,3,Volkswagen,Golf,2020,22000,14000,urban,comprehensive,1000,0,1,710,1850
41,male,19,Lexus,GX460,2017,48000,9000,suburban,comprehensive,250,0,0,830,2150
30,female,10,Mazda,CX9,2019,32000,13000,suburban,comprehensive,500,1,0,760,1780
45,male,23,Toyota,Sienna,2015,28000,12000,rural,comprehensive,500,1,0,790,1650
27,female,6,Honda,Ridgeline,2020,36000,15000,rural,comprehensive,1000,0,0,750,1820
50,male,28,Ford,F250,2014,35000,22000,rural,comprehensive,500,1,0,800,2200
32,female,11,Chevrolet,Tahoe,2018,42000,18000,suburban,comprehensive,250,0,1,780,2350
26,male,5,Nissan,Titan,2021,38000,19000,rural,comprehensive,500,0,2,720,2450
47,female,25,BMW,7Series,2016,52000,7000,suburban,comprehensive,500,0,0,860,1980
31,male,10,Mercedes,S550,2019,65000,8000,urban,comprehensive,250,0,0,820,2800
36,female,16,Audi,Q7,2017,48000,11000,suburban,comprehensive,500,0,0,810,2120
22,male,1,Hyundai,Genesis,2022,35000,16000,urban,comprehensive,1000,0,3,640,2950
48,female,26,Kia,Telluride,2020,38000,10000,suburban,comprehensive,500,0,0,840,1720
39,male,18,Subaru,Ascent,2018,33000,17000,rural,comprehensive,500,1,0,770,1980
25,female,4,Volkswagen,Atlas,2021,34000,14000,suburban,comprehensive,1000,0,1,730,1920
42,male,20,Lexus,LX570,2017,75000,9000,suburban,comprehensive,250,0,0,850,2650
33,female,13,Mazda,MX5,2019,28000,12000,urban,comprehensive,500,1,1,750,1850
44,male,22,Toyota,Tundra,2016,36000,21000,rural,comprehensive,500,2,0,780,2350
29,female,9,Honda,Passport,2020,32000,15000,suburban,comprehensive,1000,0,0,770,1750
46,male,24,Ford,Bronco,2021,40000,13000,rural,comprehensive,500,0,1,800,2080
34,female,14,Chevrolet,Suburban,2018,48000,16000,suburban,comprehensive,250,0,0,790,2280
28,male,8,Nissan,Armada,2019,45000,18000,rural,comprehensive,500,1,1,760,2450
52,female,30,BMW,i3,2015,25000,6000,urban,comprehensive,500,0,0,870,1380
37,male,17,Mercedes,GLE,2018,55000,11000,suburban,comprehensive,250,0,0,820,2350
23,female,2,Audi,TT,2021,42000,14000,urban,comprehensive,1000,0,2,680,2650
49,male,27,Hyundai,Santa Fe,2016,26000,9000,rural,comprehensive,500,0,0,830,1420
40,female,19,Kia,Stinger,2018,32000,13000,urban,comprehensive,500,1,0,780,1920
26,male,6,Subaru,WRX,2020,30000,15000,urban,comprehensive,1000,0,2,720,2350
43,female,21,Volkswagen,Touareg,2017,38000,10000,suburban,comprehensive,500,0,0,810,1780
35,male,15,Lexus,IS350,2019,36000,12000,urban,comprehensive,500,0,1,790,2050
24,female,3,Mazda,CX3,2021,23000,16000,urban,comprehensive,1000,1,1,700,2150
41,male,19,Toyota,4Runner,2017,35000,20000,rural,comprehensive,500,2,0,770,2280
30,female,11,Honda,Insight,2020,24000,11000,suburban,comprehensive,1000,0,0,760,1480
45,male,23,Ford,Edge,2016,28000,14000,suburban,comprehensive,500,1,0,800,1720
32,female,12,Chevrolet,Blazer,2019,31000,15000,urban,comprehensive,500,0,1,750,1850
27,male,7,Nissan,Pathfinder,2020,33000,17000,suburban,comprehensive,1000,0,0,740,1820
51,female,29,BMW,X1,2015,29000,7000,suburban,comprehensive,500,0,0,860,1450
38,male,18,Mercedes,CLA,2018,32000,13000,urban,comprehensive,250,0,0,800,2180
21,female,1,Audi,A3,2022,31000,18000,urban,comprehensive,1000,0,3,620,2850
47,male,25,Hyundai,Palisade,2020,36000,10000,suburban,comprehensive,500,0,0,840,1720
34,female,14,Kia,Carnival,2019,32000,14000,suburban,comprehensive,500,1,0,770,1780
29,male,9,Subaru,Crosstrek,2021,26000,16000,rural,comprehensive,1000,0,1,750,1920
42,female,20,Volkswagen,Arteon,2017,35000,9000,suburban,comprehensive,500,0,0,820,1650
36,male,16,Lexus,NX300,2018,38000,12000,urban,comprehensive,500,0,1,790,2080
25,female,5,Mazda,CX30,2020,25000,15000,urban,comprehensive,1000,0,2,720,2050
48,male,26,Toyota,Avalon,2016,30000,8000,suburban,comprehensive,500,0,0,830,1520
31,female,11,Honda,Odyssey,2019,35000,13000,suburban,comprehensive,1000,1,0,770,1820
44,male,22,Ford,Ranger,2018,28000,19000,rural,comprehensive,500,2,0,780,2150
33,female,13,Chevrolet,Colorado,2020,32000,17000,rural,comprehensive,500,0,1,760,1950
28,male,8,Nissan,Frontier,2021,30000,20000,rural,comprehensive,1000,1,1,740,2280
50,female,28,BMW,X3,2015,34000,6000,suburban,comprehensive,500,0,0,870,1580
39,male,18,Mercedes,GLC300,2018,42000,11000,urban,comprehensive,250,0,0,810,2250
24,female,3,Audi,Q3,2021,35000,16000,urban,comprehensive,1000,0,2,690,2450
46,male,24,Hyundai,Sonata,2017,24000,9000,suburban,comprehensive,500,0,0,820,1380
37,female,17,Kia,Forte,2019,20000,13000,urban,comprehensive,500,1,1,760,1720
26,male,6,Subaru,Impreza,2020,22000,15000,urban,comprehensive,1000,0,2,730,2080
43,female,21,Volkswagen,Tiguan,2018,29000,12000,suburban,comprehensive,500,0,0,800,1650
35,male,15,Lexus,CT200h,2019,28000,10000,urban,comprehensive,500,0,1,780,1780
22,female,2,Mazda,Mazda3,2021,21000,17000,urban,comprehensive,1000,1,2,660,2350
49,male,27,Toyota,Corolla,2016,18000,8000,suburban,liability,1000,0,0,840,1180
40,female,19,Honda,Fit,2018,16000,12000,urban,liability,1000,1,0,770,1420
